학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자,제공기관코드,제공기관명
동남보건대학교,Dongnam Health University,본교,전문대학,전문대학,사립,41,경기도,"경기도 수원시 장안구 천천로74번길 50 (정자동, 동남보건전문대학)",,16328,,www.dongnam.ac.kr,031-249-6333,031-249-6349,26955,2024,45665,B340014,한국대학교육협의회
동부산대학교,Dong-Pusan College,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 해운대구 운봉길 60 (반송동, 동부산대학교)",,48000,,www.dpc.ac.kr,051-542-8891,051-540-3844,28852,2024,45665,B340014,한국대학교육협의회
동서울대학교,Dong Seoul University,본교,전문대학,전문대학,사립,41,경기도,"경기도 성남시 수정구 복정로 76 (복정동, 동서울대학)",,13117,,www.du.ac.kr,031-720-2114,031-721-1999,28564,2024,45665,B340014,한국대학교육협의회
동아방송예술대학교,Dong-Ah Institute Of Media And Arts,본교,전문대학,전문대학,사립,41,경기도,"경기도 안성시 삼죽면 동아예대길 47 (진촌리, 동아방송예술대학교)",,17516,,www.dima.ac.kr,031-670-6600,031-670-6879,35425,2024,45665,B340014,한국대학교육협의회
동아보건대학교,Donga University of Health,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 영암군 학산면 영산로 76-57 (독천리, 동아보건대학교)",,58439,,www.duh.ac.kr,061-470-1700,061-470-1615,34404,2024,45665,B340014,한국대학교육협의회
동양미래대학교,Dongyang Mirae University,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 구로구 경인로 445 (고척동, 동양미래대학)",,08221,,www.dongyang.ac.kr/,02-2610-1700,02-2688-5494,23853,2024,45665,B340014,한국대학교육협의회
동우대학,Dong-U College,본교,전문대학,전문대학,사립,51,강원특별자치도,"강원특별자치도 속초시 도리원길 5 (노학동, 동우대학)",,24865,,www.duc.ac.kr,033-632-6551,033-639-0518,29646,2024,45665,B340014,한국대학교육협의회
동원과학기술대학교,Dongwon Institute Of Science And Technology,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 양산시 명곡로 321 (명곡동, 동원과학기술대학교)",,50578,,www.dist.ac.kr,055-370-8100,055-386-2000,33315,2024,45665,B340014,한국대학교육협의회
동원대학교,Tongwon University,본교,전문대학,전문대학,사립,41,경기도,"경기도 광주시 곤지암읍 경충대로 26 (신촌리, 동원대학)",,12813,,www.tw.ac.kr,1544-4114,031-763-9149,35060,2024,45665,B340014,한국대학교육협의회
동의과학대학교,Dong Eui Institute Of Technology,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 부산진구 양지로 54 (양정동, 동의과학대학)",,47230,,www.dit.ac.kr,051-852-0011,051-860-3270,26647,2024,45665,B340014,한국대학교육협의회
두원공과대학교,Doowon Technical University,본교,전문대학,전문대학,사립,41,경기도,"경기도 안성시 죽산면 관음당길 51 (장원리, 두원공과대학교)",,17520,,www.doowon.ac.kr,031-8056-7000,031-8056-7100,34394,2024,45665,B340014,한국대학교육협의회
마산대학교,Masan University,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 창원시 마산회원구 내서읍 함마대로 2640 (용담리, 마산대학)",,51217,,www.masan.ac.kr,055-230-1212,055-231-1177,20605,2024,45665,B340014,한국대학교육협의회
명지전문대학,Myongji College,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 서대문구 가좌로 134 (홍은동, 명지전문대학)",,03656,,www.mjc.ac.kr,02-300-1000,02-304-4832,27097,2024,45665,B340014,한국대학교육협의회
목포과학대학교,Mokpo Science University,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 목포시 영산로 413-1 (상동, 목포과학대학)",,58644,,www.msu.ac.kr,061-278-8651,061-279-8838,27829,2024,45665,B340014,한국대학교육협의회
문경대학교,Munkyung College,본교,전문대학,전문대학,사립,47,경상북도,경상북도 문경시 호계면 대학길 161 (별암리),,36930,,www.mkc.ac.kr,054-559-1114,054-559-1059,35060,2024,45665,B340014,한국대학교육협의회
배화여자대학교,Baewha Women’S University,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 종로구 필운대로1길 34 (필운동, 배화여자대학)",,03039,,www.baewha.ac.kr,02-399-0700,02-737-8431,28551,2024,45665,B340014,한국대학교육협의회
경남도립거창대학,University Of Gyeongnam Geochang,본교,전문대학,전문대학,공립,48,경상남도,"경상남도 거창군 거창읍 거창대학로 72 (대평리, 경남도립거창대학)",,50147,,www.gc.ac.kr,055-254-2800,055-254-2718,35125,2024,45665,B340014,한국대학교육협의회
경남도립남해대학,University Of Gyeongnam Namhae,본교,전문대학,전문대학,공립,48,경상남도,"경상남도 남해군 남해읍 화전로78번길 30 (남변리, 경남도립남해대학)",,52422,,univ.namhae.ac.kr,055-254-2400,055-254-2419,35131,2024,45665,B340014,한국대학교육협의회
경남정보대학교,Kyungnam College Of Information And Technology,본교,전문대학,전문대학,사립,26,부산광역시,"부산광역시 사상구 주례로 45 (주례동, 경남정보대학교)",,47011,,www.kit.ac.kr,051-324-5555,051-324-1858,25993,2024,45665,B340014,한국대학교육협의회
경민대학교,Kyungmin University,본교,전문대학,전문대학,사립,41,경기도,"경기도 의정부시 서부로 545 (가능동, 경민대학)",,11618,,www.kyungmin.ac.kr,031-828-7005,031-828-7006,33665,2024,45665,B340014,한국대학교육협의회
경복대학교,Kyungbok University,본교,전문대학,전문대학,사립,41,경기도,"경기도 남양주시 진접읍 경복대로 425 (금곡리, 경복대학교)",,12051,,www.kbu.ac.kr,031-570-9901,031-570-9929,33572,2024,45665,B340014,한국대학교육협의회
경북과학대학교,Kyongbuk Science College,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 칠곡군 기산면 지산로 634 (봉산리, 경북과학대학교)",,39913,,www.kbsc.ac.kr,054-979-9001,054-979-9130,34043,2024,45665,B340014,한국대학교육협의회
경북도립대학교,Gyeongbuk Provincial College,본교,전문대학,전문대학,공립,47,경상북도,"경상북도 예천군 예천읍 도립대학길 114 (청복리, 경북도립대학교)",,36830,,www.gpc.ac.kr,054-650-0128,054-650-0129,35425,2024,45665,B340014,한국대학교육협의회
경북보건대학교,Gyeongbuk College Of Health,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 김천시 대학로 168 (삼락동, 경북보건대학교)",,39525,,www.gch.ac.kr,054-420-9200,054-430-4477,35916,2024,45665,B340014,한국대학교육협의회
경북전문대학교,Kyungbuk College,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 영주시 대학로 77 (휴천동, 경북전문대학교)",,36133,,www.kbc.ac.kr,054-630-5114,054-632-0754,26359,2024,45665,B340014,한국대학교육협의회
경인여자대학교,Kyung-In Women’S University,본교,전문대학,전문대학,사립,28,인천광역시,"인천광역시 계양구 계양산로 63 (계산동, 경인여자대학)",,21041,,www.kiwu.ac.kr,032-540-0114,032-545-2095,33572,2024,45665,B340014,한국대학교육협의회
계명문화대학교,Keimyung College University,본교,전문대학,전문대학,사립,27,대구광역시,"대구광역시 달서구 달서대로 675 (신당동, 계명문화대학교)",,42601,,www.kmcu.ac.kr,053-589-7744,053-589-7400,22704,2024,45665,B340014,한국대학교육협의회
계원예술대학교,Kaywon University Of Art &  Design,본교,전문대학,전문대학,사립,41,경기도,"경기도 의왕시 계원대학로 66 (내손동, 계원예술대학교)",,16038,,www.kaywon.ac.kr,031-420-1700,031-420-1729,34029,2024,45665,B340014,한국대학교육협의회
광양보건대학교,Gwangyang Health Sciences University,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 광양시 광양읍 대학로 85 (덕례리, 광양보건대학)",,57764,,www.gy.ac.kr,061-760-1411,061-763-9009,34408,2024,45665,B340014,한국대학교육협의회
광주보건대학교,Gwangju Health University,본교,전문대학,전문대학,사립,29,광주광역시,"광주광역시 광산구 북문대로419번길 73 (신창동, 광주보건대학)",,62287,,www.ghu.ac.kr,062-958-7500,062-953-4946,26290,2024,45665,B340014,한국대학교육협의회
구미대학교,Gumi University,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 구미시 야은로 37 (부곡동, 구미대학교)",,39213,,www.gumi.ac.kr,054-440-1114,054-442-8953,33572,2024,45665,B340014,한국대학교육협의회
구세군사관학교,Salvationarmyofficertrainingcollegekoreaterritory,본교,전문대학,각종학교(전문),사립,41,경기도,"경기도 과천시 관악산길 216 (중앙동, 구세군사관대학원대학교)",,13800,,www.saotc.ac.kr,02-502-9505,02-502-9507,31443,2024,45665,B340014,한국대학교육협의회
국제대학교,Kookje University,본교,전문대학,전문대학,사립,41,경기도,"경기도 평택시 장안웃길 56 (장안동, 국제대학교)",,17731,,www.kookje.ac.kr,031-610-8000,031-668-4900,35490,2024,45665,B340014,한국대학교육협의회
군산간호대학교,Kunsan College Of Nursing,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 군산시 동개정길 7 (개정동, 군산간호대학교)",,54068,,www.kcn.ac.kr,063-450-3803,063-450-3809,18810,2024,45665,B340014,한국대학교육협의회
군장대학교,Kunjang University College,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 군산시 성산면 군장대길 13 (도암리, 군장대학)",,54045,,www.kunjang.ac.kr,063-450-8114,063-450-8116,34402,2024,45665,B340014,한국대학교육협의회
기독간호대학교,Christian College Of Nursing,본교,전문대학,전문대학,사립,29,광주광역시,"광주광역시 남구 백서로70번길 6 (양림동, 기독간호대학)",,61662,,ccn.ac.kr,062-650-8021,062-675-5806,24552,2024,45665,B340014,한국대학교육협의회
김포대학교,Kimpo University,본교,전문대학,전문대학,사립,41,경기도,경기도 김포시 모담공원로 10 (운양동),,10078,,ukp.ac.kr,031-999-4042,031-999-4038,35125,2024,45665,B340014,한국대학교육협의회
김해대학교,Gimhae University,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 김해시 삼안로112번길 198 (삼방동, 김해대학교)",,50811,,www.gimhae.ac.kr,055-320-1600,055-320-1666,38322,2024,45665,B340014,한국대학교육협의회
나주대학교,Naju College,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 나주시 다시면 백호로 125 (복암리, 고구려대학)",,58280,,www.naju.ac.kr,061-330-7400,061-335-7128,34724,2024,45665,B340014,한국대학교육협의회
농협대학교,Agricultural Cooperative University,본교,전문대학,전문대학,사립,41,경기도,"경기도 고양시 덕양구 서삼릉길 281 (원당동, 농협대학)",,10292,,www.nonghyup.ac.kr,031-960-4000,031-960-4333,23008,2024,45665,B340014,한국대학교육협의회
대경대학교,Daekyeung College,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 경산시 자인면 단북1길 65 (단북리, 대경대학)",,38547,,www.tk.ac.kr,053-850-1000,053-850-1214,33949,2024,45665,B340014,한국대학교육협의회
대구공업대학교,Daegutechnical University,본교,전문대학,전문대학,사립,27,대구광역시,"대구광역시 달서구 송현로 205 (본동, 대구공업대학)",,42734,,www.ttc.ac.kr,053-560-3700,053-527-0506,27839,2024,45665,B340014,한국대학교육협의회
국립금오공과대학교,Kumoh National Institute Of Technology,본교,대학,대학교,국립,47,경상북도,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",,39177,,www.kumoh.ac.kr,054-478-7114,054-478-7100,29281,2024,45665,B340014,한국대학교육협의회
국립목포대학교,Mokpo National University,본교,대학,대학교,국립,46,전라남도,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",,58554,,www.mokpo.ac.kr,061-450-2114,061-452-4793,17106,2024,45665,B340014,한국대학교육협의회
국립목포해양대학교,Mokpo National Maritime University,본교,대학,대학교,국립,46,전라남도,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",,58628,,www.mmu.ac.kr,061-240-7114,061-242-5176,34029,2024,45665,B340014,한국대학교육협의회
국립부경대학교,Pukyong National University,본교,대학,대학교,국립,26,부산광역시,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",,48513,,www.pknu.ac.kr,051-629-4114,051-629-5089,35252,2024,45665,B340014,한국대학교육협의회
국립순천대학교,Sunchon National University,본교,대학,대학교,국립,46,전라남도,"전라남도 순천시 중앙로 255 (석현동, 순천대학교)",,57922,,www.scnu.ac.kr/SCNU/main.do,061-750-3114,061-750-3117,30020,2024,45665,B340014,한국대학교육협의회
국립창원대학교,Changwon National University,본교,대학,대학교,국립,48,경상남도,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교)",,51140,,www.changwon.ac.kr,055-213-2114,055-283-2970,25283,2024,45665,B340014,한국대학교육협의회
국립한국교통대학교,Korea National University Of Transportation,본교,대학,대학교,국립,43,충청북도,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교)",,27469,,www.ut.ac.kr,043-841-5002,043-853-1236,5205,2024,45665,B340014,한국대학교육협의회
국립한국해양대학교,Korea Maritime & Ocean University,본교,대학,대학교,국립,26,부산광역시,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교)",,49112,,www.kmou.ac.kr,051-410-4114,051-405-2475,16746,2024,45665,B340014,한국대학교육협의회
국립한밭대학교,Hanbat National University,본교,대학,대학교,국립,30,대전광역시,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)",,34158,,www.hanbat.ac.kr,042-821-1114,042-825-5395,40969,2024,45665,B340014,한국대학교육협의회
국민대학교,Kookmin University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",,02707,,www.kookmin.ac.kr,02-910-4114,02-910-4169,17046,2024,45665,B340014,한국대학교육협의회
극동대학교,Far East University,본교,대학,대학교,사립,43,충청북도,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)",,27601,,www.kdu.ac.kr,043-879-3500,043-879-3519,35769,2024,45665,B340014,한국대학교육협의회
금강대학교,Geumgang University,본교,대학,대학교,사립,44,충청남도,"충청남도 논산시 상월면 상월로 522 (대명리, 금강대학교)",,32906,,www.ggu.ac.kr,041-731-3100,041-731-3109,37576,2024,45665,B340014,한국대학교육협의회
김천대학교,Gimcheon University,본교,대학,대학교,사립,47,경상북도,"경상북도 김천시 대학로 214 (삼락동, 김천대학교)",,39528,,www.gimcheon.ac.kr,054-420-4000,054-420-4003,40238,2024,45665,B340014,한국대학교육협의회
나사렛대학교,Korea Nazarene University,본교,대학,대학교,사립,44,충청남도,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",,31172,,www.kornu.ac.kr,041-570-7794,041-570-7725,19981,2024,45665,B340014,한국대학교육협의회
남부대학교,Nambu University,본교,대학,대학교,사립,29,광주광역시,광주광역시 광산구 남부대길 1 (월계동),,62271,,www.nambu.ac.kr,062-970-0001,062-972-6200,36231,2024,45665,B340014,한국대학교육협의회
남서울대학교,Namseoul University,본교,대학,대학교,사립,44,충청남도,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교)",,31020,,www.nsu.ac.kr/,041-580-2000,041-582-2117,34438,2024,45665,B340014,한국대학교육협의회
남서울대학교(산업대),Namseoul University,본교,대학,산업대학,사립,44,충청남도,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교)",,31020,,www.nsu.ac.kr,041-580-2513,041-584-2024,34438,2024,45665,B340014,한국대학교육협의회
단국대학교,Dankook University,본교,대학,대학교,사립,41,경기도,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교)",,16890,,www.dankook.ac.kr,1899-3700,031-8021-7106,17474,2024,45665,B340014,한국대학교육협의회
단국대학교,Dankook University,제2캠퍼,대학,대학교,사립,44,충청남도,"충청남도 천안시 동남구 단대로 119 (안서동, 단국대학교천안캠퍼스)",,31116,,www.dankook.ac.kr,1899-3700,031-8021-7106,28562,2024,45665,B340014,한국대학교육협의회
대구가톨릭대학교,Daegu Catholic University,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교)",,38430,,www.cu.ac.kr,053-850-3114,053-359-7000,5388,2024,45665,B340014,한국대학교육협의회
대구경북과학기술원,DGIST,본교,대학,대학교,특별법법,27,대구광역시,대구광역시 달성군 현풍읍 테크노중앙대로 333,,42988,,www.dgist.ac.kr,053-785-0114,053-785-1149,40604,2024,45665,B340014,한국대학교육협의회
대구교육대학교,Daegu National University Of Education,본교,대학,교육대학,국립,27,대구광역시,"대구광역시 남구 중앙대로 219 (대명동, 대구교육대학교)",,42411,,www.dnue.ac.kr,053-620-1202,053-651-5369,18347,2024,45665,B340014,한국대학교육협의회
대구대학교,Daegu University,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)",,38453,,www.daegu.ac.kr,053-850-5000,053-850-5009,20576,2024,45665,B340014,한국대학교육협의회
대구예술대학교,Daegu Arts University,본교,대학,대학교,사립,47,경상북도,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교)",,39851,,www.dgau.ac.kr,054-970-5311,054-973-5319,35410,2024,45665,B340014,한국대학교육협의회
대구외국어대학교,Daegu University Of Foreign Studies,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 남천면 남천로 730 (협석리, 대구외국어대학교)",,38695,,www.dufs.ac.kr,053-810-7000,053-811-0836,37681,2024,45665,B340014,한국대학교육협의회
대구한의대학교,Daegu Haany University,본교,대학,대학교,사립,47,경상북도,경상북도 경산시 한의대로 1(유곡동),,38610,,www.dhu.ac.kr,053-819-1000,053-819-1258,29584,2024,45665,B340014,한국대학교육협의회
대신대학교,Daeshin University,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교)",,38649,,www.daeshin.ac.kr,053-810-0701,053-813-0006,35410,2024,45665,B340014,한국대학교육협의회
대전가톨릭대학교,Daejeoncatholicuniversity,본교,대학,대학교,사립,36,세종특별자치시,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교)",,30006,,www.dcatholic.ac.kr,044-861-7101,044-861-7106,34029,2024,45665,B340014,한국대학교육협의회
대전대학교,Daejeon University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 동구 대학로 62 (용운동, 대전대학교)",,34520,,www.dju.ac.kr,042-280-2114,042-283-8808,29584,2024,45665,B340014,한국대학교육협의회
대전신학대학교,Daejeon Theological University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 대덕구 한남로 41 (오정동, 대전신학대학교)",,34432,,www.daejeon.ac.kr,042-606-0114,042-621-0821,39873,2024,45665,B340014,한국대학교육협의회
대진대학교,Daejin University,본교,대학,대학교,사립,41,경기도,"경기도 포천시 호국로 1007 (선단동, 대진대학교)",,11159,,www.daejin.ac.kr,031-539-1114,031-539-1115,33557,2024,45665,B340014,한국대학교육협의회
덕성여자대학교,Duksung Women’S University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교)",,01369,,www.duksung.ac.kr,02-901-8000,02-908-2251,18400,2024,45665,B340014,한국대학교육협의회
동국대학교,Dongguk University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)",,04620,,www.dongguk.edu,02-2260-3114,02-2277-1274,17065,2024,45665,B340014,한국대학교육협의회
동국대학교(WISE),Dongguk University,분교,대학,대학교,사립,47,경상북도,경상북도 경주시 동대로 123(석장동),,38066,,wise.dongguk.ac.kr,054-770-2844,054-770-2846,28775,2024,45665,B340014,한국대학교육협의회
동덕여자대학교,Dongduk Women’s University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)",,02748,,www.dongduk.ac.kr,02-940-4000,02-940-4182,18410,2024,45665,B340014,한국대학교육협의회
동명대학교,Tongmyong University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 남구 신선로 428 (용당동, 동명대학교)",,48520,,www.tu.ac.kr,051-629-1000,051-629-0619,38777,2024,45665,B340014,한국대학교육협의회
동서대학교,Dongseo University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 사상구 주례로 47 (주례동, 동서대학교)",,47011,,www.dongseo.ac.kr,051-313-2001,051-313-1046,33665,2024,45665,B340014,한국대학교육협의회
동신대학교,Dongshinuniversity,본교,대학,대학교,사립,46,전라남도,전라남도 나주시 동신대길 67 (대호동),,58245,,www.dsu.ac.kr,061-330-3114,061-330-2909,31777,2024,45665,B340014,한국대학교육협의회
동아대학교,Dong-A University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교)",,49315,,www.donga.ac.kr,051-200-6114,051-205-5788,17107,2024,45665,B340014,한국대학교육협의회
동양대학교,Dongyang University,본교,대학,대학교,사립,47,경상북도,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)",,36040,,www.dyu.ac.kr,054-630-1114,054-636-8523,34394,2024,45665,B340014,한국대학교육협의회
동의대학교,Dong-Eui University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교)",,47340,,www.deu.ac.kr,051-890-1114,051-890-1234,28865,2024,45665,B340014,한국대학교육협의회
루터대학교,Luther University,본교,대학,대학교,사립,41,경기도,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교)",,17072,,www.ltu.ac.kr,031-679-2300,031-283-1505,35769,2024,45665,B340014,한국대학교육협의회
명지대학교,Myongji University Natural Science Campus,본교,대학,대학교,사립,41,경기도,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스)",,17058,,www.mju.ac.kr,1577-0020,031-332-2459,17783,2024,45665,B340014,한국대학교육협의회
명지대학교,Myongji University Social Science Campus,제2캠퍼,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교)",,03674,,www.mju.ac.kr,1577-0020,02-300-1556,17783,2024,45665,B340014,한국대학교육협의회
목원대학교,Mokwon University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 서구 도안북로 88 (도안동, 목원대학교)",,35349,,www.mokwon.ac.kr,042-829-7114,042-825-5020,23755,2024,45665,B340014,한국대학교육협의회
목포가톨릭대학교,Mokpo Catholic University,본교,대학,대학교,사립,46,전라남도,"전라남도 목포시 영산로 697 (석현동, 목포가톨릭대학교)",,58607,,www.mcu.ac.kr,061-280-5102,061-280-5109,36511,2024,45665,B340014,한국대학교육협의회
배재대학교,Pai Chai University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교)",,35345,,www.pcu.ac.kr,042-520-5114,042-533-7354,29584,2024,45665,B340014,한국대학교육협의회
백석대학교,Baekseok University,본교,대학,대학교,사립,44,충청남도,충청남도 천안시 동남구 백석대학로 1 (안서동),,31065,,www.bu.ac.kr,041-550-9114,041-550-9113,34394,2024,45665,B340014,한국대학교육협의회
부산가톨릭대학교,Catholic University Of Pusan,본교,대학,대학교,사립,26,부산광역시,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교)",,46252,,www.cup.ac.kr,051-515-5811,051-514-1576,33231,2024,45665,B340014,한국대학교육협의회
부산교육대학교,Busan National University Of Education,본교,대학,교육대학,국립,26,부산광역시,"부산광역시 연제구 교대로 24 (거제동, 부산교육대학교)",,47503,,www.bnue.ac.kr,051-500-7141,051-505-4908,17047,2024,45665,B340014,한국대학교육협의회
부산대학교,Pusan National University,본교,대학,대학교,국립,26,부산광역시,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",,46241,,www.pusan.ac.kr,051-512-0311,051-512-3368,16937,2024,45665,B340014,한국대학교육협의회
부산외국어대학교,Busan University Of Foreign Studies,본교,대학,대학교,사립,26,부산광역시,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교)",,46234,,www.bufs.ac.kr,051-509-5000,051-509-5005,30022,2024,45665,B340014,한국대학교육협의회
부산장신대학교,Busan Presbyterian University,본교,대학,대학교,사립,48,경상남도,경상남도 김해시 김해대로 1894-68 (구산동),,50883,,www.bpu.ac.kr,055-320-2500,055-339-1161,36859,2024,45665,B340014,한국대학교육협의회
삼육대학교,Sahmyook University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교)",,01795,,www.syu.ac.kr,02-3399-3636,02-979-5318,22704,2024,45665,B340014,한국대학교육협의회
